TouristID,FirstName,LastName,Phone,Email,Country,Password
1,Name1,Last1,500000001,user1@mail.com,Germany,pass1
2,Name2,Last2,500000002,user2@mail.com,Israel,pass2
3,Name3,Last3,500000003,user3@mail.com,France,pass3
4,Name4,Last4,500000004,user4@mail.com,Germany,pass4
5,Name5,Last5,500000005,user5@mail.com,Israel,pass5
6,Name6,Last6,500000006,user6@mail.com,Israel,pass6
7,Name7,Last7,500000007,user7@mail.com,Italy,pass7
8,Name8,Last8,500000008,user8@mail.com,UK,pass8
9,Name9,Last9,500000009,user9@mail.com,USA,pass9
10,Name10,Last10,500000010,user10@mail.com,Spain,pass10
